iter	Passed	Remaining
883	129	17
884	130	16
885	130	16
886	130	16
887	130	16
888	130	16
889	130	16
890	130	16
891	131	15
892	131	15
893	131	15
894	131	15
895	131	15
896	131	15
897	131	14
898	132	14
899	132	14
900	132	14
901	132	14
902	132	14
903	132	14
904	132	13
905	133	13
906	133	13
907	133	13
908	133	13
909	133	13
910	133	13
911	133	12
912	133	12
913	134	12
914	134	12
915	134	12
916	134	12
917	134	12
918	134	11
919	134	11
920	135	11
921	135	11
922	135	11
923	135	11
924	135	10
925	135	10
926	135	10
927	135	10
928	136	10
929	136	10
930	136	10
931	136	9
932	136	9
933	136	9
934	136	9
935	137	9
936	137	9
937	137	9
938	137	8
939	137	8
940	137	8
941	137	8
942	138	8
943	138	8
944	138	8
945	138	7
946	138	7
947	138	7
948	138	7
949	139	7
950	139	7
951	139	7
952	139	6
953	139	6
954	139	6
955	139	6
956	140	6
957	140	6
958	140	6
959	140	5
960	140	5
961	140	5
962	140	5
963	141	5
964	141	5
965	141	4
966	141	4
967	141	4
968	141	4
969	141	4
970	142	4
971	142	4
972	142	3
973	142	3
974	142	3
975	142	3
976	142	3
977	142	3
978	143	3
979	143	2
980	143	2
981	143	2
982	143	2
983	143	2
984	143	2
985	144	2
986	144	1
987	144	1
988	144	1
989	144	1
990	144	1
991	145	1
992	145	1
993	145	0
994	145	0
995	145	0
996	145	0
997	145	0
998	145	0
999	146	0
